sample_id,dataset,origin,number of cells,number of ctc,number of wbc attached,sample type,cell type,ctc-cluster size,ctc-cluster id,sample cell type,sample cell type cat,mouse type,donor
GSM2966731,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966732,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr16-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966733,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966734,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr16-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966735,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr16-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966736,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br16
GSM2966737,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br16
GSM2966738,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br46
GSM2966739,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM2966740,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM2966741,GSE109761,patient,1,0,0,WBC,WBC,NA,NA,REF.WBC,REF.WBC,NA,Br46
GSM3664237,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br30
GSM3664238,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br30
GSM3664239,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br30
GSM3664240,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br30
GSM3664241,GSE109761,patient,2,1,1,CTC-single-WBC,CTC-WBC,NA,NA,CTC.single.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br37
GSM3664242,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664243,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664244,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664245,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664246,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664247,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664248,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr39-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664249,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664250,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr39-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664251,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr39-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664252,GSE109761,patient,1,1,0,CTC-cluster-WBC,CTC,2,cBr39-4,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br39
GSM3664253,GSE109761,patient,2,1,1,CTC-cluster-WBC,CTC-WBC,2,cBr39-4,CTC.cluster.WBC.ctc.wbc,CTC.ctc.wbc,NA,Br39
GSM3664254,GSE109761,patient,1,1,0,CTC-cluster,CTC,3,cBr39-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664255,GSE109761,patient,2,2,0,CTC-cluster,CTC,3,cBr39-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664256,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664257,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr39-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br39
GSM3664258,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664259,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664260,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br39
GSM3664261,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br61
GSM3664262,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM3664263,GSE109761,patient,1,1,0,CTC-cluster,CTC,2,cBr61-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br61
GSM3664264,GSE109761,patient,3,3,0,CTC-cluster,CTC,3,cBr7-4,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
GSM3664265,GSE109761,patient,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br7
GSM3664266,GSE109761,patient,2,2,0,CTC-cluster,CTC,2,cBr7-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br7
